#word,Word1_mean,Word1_std,Word2_mean,Word2_std,Cpd_mean,Cpd_std,mean1*mean2
enduser,3.866667,1.117537,4.866667,0.339935,4.250000,0.871165,18.817781
firingline,1.607143,1.654848,1.892857,1.496169,1.703704,1.717337,3.042092
gameplan,2.821429,1.964935,4.862069,0.344828,3.827586,1.233693,13.717982
applicationform,4.766667,0.422953,4.862069,0.344828,4.800000,0.476095,23.175864
snailmail,0.600000,0.800000,4.586207,1.099129,1.310345,1.020596,2.751724
website,2.678571,1.691440,3.933333,1.181336,3.785714,1.205853,10.535712
fleamarket,0.379310,0.805746,4.714286,0.839096,1.517241,1.133219,1.788176
grandfatherclock,0.428571,0.775913,5.000000,0.000000,2.642857,1.315139,2.142855
diamondwedding,1.066667,1.289272,3.407407,1.340516,1.703704,1.047566,3.634569
guilttrip,4.714286,0.589015,0.862069,0.936764,2.185185,1.155888,4.064040
silverspoon,1.592593,1.472193,1.444444,1.770820,1.518519,1.449658,2.300411
rushhour,3.107143,1.371633,2.862069,1.357588,3.333333,1.273665,8.892858
chinaclay,2.000000,1.839732,4.620690,0.997023,3.851852,1.267944,9.241380
cocktaildress,1.400000,1.083205,5.000000,0.000000,3.038462,1.224141,7.000000
mailinglist,4.666667,0.537484,4.933333,0.249444,4.666667,0.471405,23.022222
spellingbee,4.814815,0.771580,0.517241,1.037925,2.448276,1.248066,2.490420
publicservice,4.666667,0.649786,4.766667,0.615540,4.400000,0.757188,22.244448
headteacher,2.931034,1.507019,4.517241,1.070633,4.000000,1.164965,13.240187
videogame,4.500000,0.718795,5.000000,0.000000,4.600000,0.611010,22.500000
spinningjenny,4.666667,0.544331,0.413793,0.766418,2.275862,1.079481,1.931034
thinktank,3.961538,1.055417,0.466667,0.618241,2.038462,1.125945,1.848719
cashcow,4.222222,1.065740,0.370370,0.727662,1.555556,1.099944,1.563784
swansong,0.379310,0.611036,1.107143,1.144530,0.827586,0.912328,0.419950
monkeybusiness,0.666667,1.011050,1.851852,1.296825,0.724138,0.689655,1.234569
snakeoil,0.370370,0.554320,0.814815,1.248318,0.750000,1.122020,0.301783
smokinggun,0.714286,0.749149,1.000000,0.942809,0.714286,0.839096,0.714286
balancesheet,3.821429,0.888561,3.896552,0.959340,3.862069,1.007699,14.890397
zebracrossing,0.758621,0.624509,4.607143,0.859372,1.250000,1.022078,3.495075
cuttingedge,0.884615,1.187335,1.730769,1.630424,1.250000,1.183970,1.531064
radiostation,4.655172,0.956858,4.344828,0.799822,4.466667,0.718022,20.225922
searchengine,4.620690,0.961816,2.250000,1.703463,3.320000,1.156547,10.396552
shrinkingviolet,2.275862,1.435908,0.233333,0.558768,1.068966,1.014754,0.531034
facevalue,1.392857,1.112888,4.642857,0.811273,3.037037,0.881139,6.466836
humanbeing,4.862069,0.344828,4.333333,1.135292,4.586207,0.720021,21.068964
sacredcow,1.928571,1.645960,0.964286,1.721340,1.518519,1.524379,1.859694
silverscreen,1.413793,1.565077,3.230769,1.449342,2.379310,1.627645,4.567639
meltingpot,1.000000,1.154701,0.481481,0.630718,0.538462,0.634324,0.481481
kangaroocourt,0.166667,0.372678,4.428571,1.015191,1.366667,1.048279,0.738097
groundfloor,4.655172,0.657889,4.700000,0.781025,4.666667,0.596285,21.879308
ratrun,0.413793,0.616846,2.333333,1.398412,0.793103,0.663289,0.965517
lawfirm,4.724138,0.518390,3.892857,1.496169,4.400000,0.757188,18.390394
poloshirt,1.733333,1.412641,5.000000,0.000000,3.366667,1.378002,8.666665
ivorytower,0.379310,1.031029,0.535714,0.680449,0.464286,0.680449,0.203202
lipservice,2.033333,1.251222,1.750000,1.404711,1.620690,1.063948,3.558333
healthinsurance,4.533333,0.884433,4.833333,0.582142,4.400000,1.171893,21.911108
couchpotato,3.269231,1.482142,0.344828,0.657889,1.413793,1.034483,1.127322
chainreaction,2.407407,1.162987,4.517241,0.724958,2.931034,1.142624,10.874838
silverbullet,0.518519,0.995187,0.551724,1.101291,0.666667,1.154701,0.286079
graduatestudent,4.700000,0.458258,5.000000,0.000000,4.900000,0.300000,23.500000
cloudnine,0.466667,0.618241,0.233333,0.422953,0.333333,0.537484,0.108889
frontrunner,3.965517,0.964285,1.285714,1.097307,2.655172,1.320289,5.098521
agonyaunt,1.862069,1.224017,0.433333,0.558768,0.758621,0.857228,0.806896
rockbottom,0.740741,0.885797,3.800000,1.077033,2.142857,1.186661,2.814816
acidtest,0.714286,1.097307,3.896552,1.241379,1.222222,1.257079,2.783253
climatechange,4.896552,0.304543,4.827586,0.377740,4.965517,0.182466,23.638526
lotusposition,1.111111,1.165343,4.777778,0.415740,2.482759,1.221099,5.308642
sittingduck,1.482759,1.476732,0.413793,0.670421,0.960000,1.038460,0.613555
carpark,4.896552,0.402135,4.000000,1.095445,4.200000,1.045626,19.586208
goldmine,1.379310,1.424267,0.703704,0.808053,0.814815,0.818175,0.970626
gravytrain,0.296296,0.456623,0.448276,0.769514,0.310345,0.593264,0.132822
casestudy,3.655172,1.122677,4.666667,0.471405,3.700000,0.971253,17.057471
nightowl,4.466667,0.884433,0.500000,0.823754,1.925926,1.274419,2.233334
eyecandy,3.827586,1.052713,0.714286,0.749149,1.482759,1.102370,2.733991
nestegg,0.785714,0.976771,0.500000,0.866025,0.777778,0.874890,0.392857
rolemodel,3.551724,1.220125,4.000000,1.032796,4.111111,1.065740,14.206896
fashionplate,4.413793,1.067296,3.307692,2.071217,3.896552,1.422597,14.599468
crocodiletear,0.185185,0.474305,3.785714,1.047348,1.250000,1.089725,0.701057
ratrace,0.250000,0.508850,2.035714,1.322393,0.857143,0.989743,0.508929
crashcourse,0.964286,0.944236,4.233333,0.919541,2.142857,1.273754,4.082144
rocketscience,0.642857,0.971534,1.551724,1.404088,1.428571,1.347712,0.997537
memorylane,4.750000,0.508850,0.714286,0.795395,2.166667,1.035482,3.392858
smokingjacket,1.035714,0.822980,4.896552,0.304543,2.320000,1.287478,5.071427
interestrate,4.344828,0.992241,4.689655,0.531974,4.571429,0.903508,20.375744
engineroom,4.862069,0.344828,5.000000,0.000000,4.931034,0.253395,24.310345
blamegame,4.607143,0.672909,2.000000,1.281740,2.720000,0.917388,9.214286
brassring,3.733333,1.948219,3.866667,1.978776,3.724138,1.836349,14.435556
pandacar,0.500000,0.562731,4.655172,1.152983,1.807692,1.074861,2.327586
researchproject,4.900000,0.300000,4.533333,0.956847,4.821429,0.382993,22.213332
callcentre,4.733333,0.442217,4.413793,0.720021,4.655172,0.657889,20.891952
graveyardshift,0.379310,0.611036,4.500000,0.718795,1.518519,1.166520,1.706895
creditcard,4.666667,0.537484,4.896552,0.304543,4.666667,0.699206,22.850578
cheatsheet,2.300000,1.594783,4.000000,0.830455,2.892857,1.112888,9.200000
parkinglot,4.833333,0.372678,4.766667,0.495536,4.700000,0.640312,23.038889
fineline,3.172414,1.340843,2.033333,1.516209,2.689655,1.206404,6.450574
brickwall,3.160000,2.203270,3.533333,1.857118,3.793103,1.749469,11.165332
speedlimit,4.933333,0.249444,4.827586,0.377740,4.827586,0.460057,23.816089
swimmingpool,4.800000,0.400000,4.900000,0.300000,4.866667,0.339935,23.520000
bankaccount,4.866667,0.339935,4.827586,0.460057,4.733333,0.442217,23.494253
